成交時間,新倉時間,商品名稱,口數,新倉價,平倉價,平倉損益淨額,UUID
2025-08-28 12:07:01,2025-08-22 16:45:02,小型期09,1,23845,24248,20060,2f6ea4c3f87a407b
2025-08-21 20:12:00,2025-08-21 09:09:26,小型期09,1,23777,23780,60,ef5c16880a714665
2025-08-21 21:13:47,2025-08-21 21:03:18,小型期09,1,23800,23801,-40,ee98b8508aa8417a
2025-08-21 21:26:49,2025-08-21 21:22:56,小型期09,1,23815,23811,-290,8ecc3a22ab924072
2025-08-21 21:45:21,2025-08-21 21:30:25,小型期09,1,23820,23820,-90,105607b6abeb4a68
2025-08-22 09:02:43,2025-08-22 08:57:19,小型期09,1,23909,23891,-990,69f31e6de34042ae
2025-08-22 09:20:00,2025-08-22 09:14:06,小型期09,1,23849,23832,-940,8c1b2eca933741fa
2025-08-22 09:40:36,2025-08-22 09:37:02,小型期09,1,23840,23820,-1090,32ddff9ff6544c2d
2025-08-22 09:56:15,2025-08-22 09:44:52,小型期09,1,23850,23855,160,76d6b68b9bd84c08
2025-08-22 09:58:32,2025-08-22 09:57:02,小型期09,1,23855,23844,-640,3568320b8da64e03
2025-08-15 13:08:48,2025-08-15 11:43:20,小型期08,1,24340,24340,-90,9f60c8c1563e44de
2025-08-15 09:12:48,2025-08-14 21:32:03,小型期08,1,24205,24207,10,4b269c80feb241dc
2025-08-14 20:30:13,2025-08-14 15:08:19,小型期08,1,24255,24240,-840,04bc2c4c68a245e4
2025-08-14 15:00:00,2025-08-14 10:31:10,小型期08,1,24260,24239,-1140,7c9d4d35e2a84120
2025-08-14 10:19:51,2025-08-14 10:19:29,小型期08,1,24250,24242,-490,5272dafac4d941d1
2025-08-14 10:00:10,2025-08-13 12:29:53,小型期08,1,24270,24271,-40,cd36fe2724474575
2025-08-13 11:26:41,2025-08-13 10:12:47,小型期08,1,24350,24348,-190,5aa7328e86e44bb4
2025-08-05 22:32:31,2025-08-05 09:19:08,小型期08,1,23450,23449,-138,cd79eb20308d43e4
2025-08-05 09:15:38,2025-08-05 09:10:38,小型期08,1,23540,23440,-5089,79529a56a9ea48c1
2025-08-01 01:27:20,2025-07-31 23:27:10,小型期08,1,23415,23398,-938,aa8321756c094d5b
2025-07-31 23:25:33,2025-07-31 23:23:40,小型期08,1,23415,23400,-838,32ccba9a597341c0
2025-07-31 23:15:34,2025-07-31 09:03:36,小型期08,1,23390,23409,862,858d2f95a2d04011
2025-07-31 09:02:49,2025-07-31 09:02:31,小型期08,1,23396,23381,-838,57da5a03ba314784
2025-07-31 09:01:26,2025-07-31 08:54:51,小型期08,1,23405,23380,-1338,d331a88d3b7848fd
2025-07-31 03:00:27,2025-07-30 09:32:15,小型期08,1,23230,23231,-38,f64959616ff8467c
2025-07-30 09:20:56,2025-07-30 08:45:19,小型期08,1,23239,23240,-38,f09522c6d18649d1
2025-07-29 22:52:38,2025-07-29 20:19:58,小型期08,1,23219,23216,-238,1375b731340147f6
2025-07-29 19:21:43,2025-07-29 18:39:31,小型期08,1,23207,23203,-288,cf21ca6597ff4c8d
2025-07-29 17:32:44,2025-07-29 17:12:57,小型期08,1,23205,23186,-1038,474e51a561f04a54
2025-07-29 17:00:00,2025-07-29 15:38:29,小型期08,1,23210,23190,-1088,00af3a1ad40c4dfa
2025-07-29 09:59:02,2025-07-23 09:33:48,小型期08,1,23110,23170,2912,0342efbe86434578
2025-07-23 09:28:27,2025-07-23 09:01:35,小型期08,1,23120,23090,-1588,749f59c45f49440d
2025-07-23 08:59:20,2025-07-23 08:57:25,小型期08,1,23114,23090,-1288,0f5637fadf5944d5
2025-07-23 08:51:29,2025-07-23 08:48:32,小型期08,1,23110,23078,-1688,e977ea8029cb4922
2025-07-22 11:23:28,2025-07-15 09:31:41,小型期08,1,22490,23128,31813,659736882580416e
2025-07-04 13:33:29,2025-07-04 13:32:07,小型期07,1,22460,22453,-436,18b5bf13ef954148
2025-07-04 13:06:45,2025-07-04 12:15:08,小型期07,1,22460,22436,-1286,c4273625a1654633
2025-07-04 11:53:14,2025-07-03 08:45:50,小型期07,1,22552,22450,-5187,dd593b499886446a
2025-06-30 13:30:08,2025-06-30 11:52:30,小型期07,1,22110,22109,-136,0d643438732a4079
2025-06-30 11:40:47,2025-06-30 11:38:52,小型期07,1,22130,22120,-586,580cdf09ed8448e7
2025-06-30 10:48:24,2025-06-30 10:10:59,小型期07,1,22155,22112,-2236,23112886d9434252
2025-06-30 09:48:15,2025-06-30 09:42:29,小型期07,1,22160,22130,-1586,30e47724f7484860
